id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-12,00:30:00,14.03,258,9.05
,5,2003-10-12,00:34:00,14.03,258,9.07
,5,2003-10-12,00:38:00,14.01,258,9.03
,5,2003-10-12,00:42:00,14.0,258,9.06
,5,2003-10-12,00:46:00,13.99,258,9.04
,5,2003-10-12,00:50:00,13.98,258,9.05
,5,2003-10-12,00:54:00,13.97,258,9.04
,5,2003-10-12,00:58:00,13.95,258,9.06
,5,2003-10-12,01:02:00,13.94,258,9.06
,5,2003-10-12,01:06:00,13.93,258,9.1
,5,2003-10-12,01:10:00,13.91,258,9.11
,5,2003-10-12,01:14:00,13.91,258,9.08
,5,2003-10-12,01:18:00,13.9,258,9.1
,5,2003-10-12,01:22:00,13.89,258,9.08
,5,2003-10-12,01:26:00,13.88,258,9.1
,5,2003-10-12,01:30:00,13.87,257,9.11
,5,2003-10-12,01:34:00,13.85,258,9.09
,5,2003-10-12,01:38:00,13.84,258,9.11
,5,2003-10-12,01:42:00,13.83,258,9.12
,5,2003-10-12,01:46:00,13.82,258,9.11
,5,2003-10-12,01:50:00,13.8,257,9.1
,5,2003-10-12,01:54:00,13.8,258,9.06
,5,2003-10-12,01:58:00,13.78,258,9.1
,5,2003-10-12,02:02:00,13.77,257,9.09
,5,2003-10-12,02:06:00,13.76,258,9.1
,5,2003-10-12,02:10:00,13.75,258,9.15
,5,2003-10-12,02:14:00,13.73,257,9.12
,5,2003-10-12,02:18:00,13.73,257,9.1
,5,2003-10-12,02:22:00,13.71,257,9.09
,5,2003-10-12,02:26:00,13.7,257,9.11
,5,2003-10-12,02:30:00,13.69,257,9.09
,5,2003-10-12,02:34:00,13.68,257,9.09
,5,2003-10-12,02:38:00,13.67,257,9.12
,5,2003-10-12,02:42:00,13.65,257,9.13
,5,2003-10-12,02:46:00,13.64,257,9.08
,5,2003-10-12,02:50:00,13.63,257,9.14
,5,2003-10-12,02:54:00,13.62,257,9.11
,5,2003-10-12,02:58:00,13.6,257,9.09
,5,2003-10-12,03:02:00,13.59,257,9.08
,5,2003-10-12,03:06:00,13.58,257,9.09
,5,2003-10-12,03:10:00,13.57,257,9.1
,5,2003-10-12,03:14:00,13.55,257,9.13
,5,2003-10-12,03:18:00,13.54,257,9.11
,5,2003-10-12,03:22:00,13.53,257,9.15
,5,2003-10-12,03:26:00,13.51,257,9.14
,5,2003-10-12,03:30:00,13.5,257,9.11
,5,2003-10-12,03:34:00,13.49,257,9.11
,5,2003-10-12,03:38:00,13.47,257,9.15
,5,2003-10-12,03:42:00,13.46,257,9.15
,5,2003-10-12,03:46:00,13.45,257,9.18
,5,2003-10-12,03:50:00,13.44,257,9.16
,5,2003-10-12,03:54:00,13.42,257,9.16
,5,2003-10-12,03:58:00,13.41,257,9.16
,5,2003-10-12,04:02:00,13.39,257,9.18
,5,2003-10-12,04:06:00,13.38,257,9.19
,5,2003-10-12,04:10:00,13.37,257,9.18
,5,2003-10-12,04:14:00,13.35,257,9.15
,5,2003-10-12,04:18:00,13.34,257,9.25
,5,2003-10-12,04:22:00,13.33,256,9.22
,5,2003-10-12,04:26:00,13.31,256,9.23
,5,2003-10-12,04:30:00,13.3,257,9.22
,5,2003-10-12,04:34:00,13.29,256,9.28
,5,2003-10-12,04:38:00,13.27,256,9.27
,5,2003-10-12,04:42:00,13.26,256,9.28
,5,2003-10-12,04:46:00,13.25,256,9.28
,5,2003-10-12,04:50:00,13.23,256,9.24
,5,2003-10-12,04:54:00,13.22,256,9.29
,5,2003-10-12,04:58:00,13.2,256,9.29
,5,2003-10-12,05:02:00,13.2,256,9.27
,5,2003-10-12,05:06:00,13.18,256,9.29
,5,2003-10-12,05:10:00,13.17,256,9.29
,5,2003-10-12,05:14:00,13.15,256,9.3
,5,2003-10-12,05:18:00,13.14,256,9.35
,5,2003-10-12,05:22:00,13.13,256,9.33
,5,2003-10-12,05:26:00,13.11,256,9.35
,5,2003-10-12,05:30:00,13.1,256,9.32
,5,2003-10-12,05:34:00,13.08,256,9.34
,5,2003-10-12,05:38:00,13.07,256,9.34
,5,2003-10-12,05:42:00,13.05,256,9.36
,5,2003-10-12,05:46:00,13.04,256,9.35
,5,2003-10-12,05:50:00,13.02,256,9.36
,5,2003-10-12,05:54:00,13.01,256,9.36
,5,2003-10-12,05:58:00,12.99,256,9.4
,5,2003-10-12,06:02:00,12.97,256,9.38
,5,2003-10-12,06:06:00,12.96,256,9.37
,5,2003-10-12,06:10:00,12.95,256,9.4
,5,2003-10-12,06:14:00,12.94,256,9.41
,5,2003-10-12,06:18:00,12.92,256,9.38
,5,2003-10-12,06:22:00,12.91,256,9.37
,5,2003-10-12,06:26:00,12.9,256,9.38
,5,2003-10-12,06:30:00,12.88,256,9.42
,5,2003-10-12,06:34:00,12.86,256,9.4
,5,2003-10-12,06:38:00,12.85,256,9.38
,5,2003-10-12,06:42:00,12.84,256,9.4
,5,2003-10-12,06:46:00,12.82,256,9.41
,5,2003-10-12,06:50:00,12.8,256,9.4
,5,2003-10-12,06:54:00,12.79,256,9.41
,5,2003-10-12,06:58:00,12.77,256,9.4
,5,2003-10-12,07:02:00,12.76,256,9.43
,5,2003-10-12,07:06:00,12.74,256,9.43
,5,2003-10-12,07:10:00,12.73,256,9.47
,5,2003-10-12,07:14:00,12.72,256,9.45
,5,2003-10-12,07:18:00,12.71,256,9.46
,5,2003-10-12,07:22:00,12.7,256,9.45
,5,2003-10-12,07:26:00,12.69,255,9.47
,5,2003-10-12,07:30:00,12.67,255,9.48
,5,2003-10-12,07:34:00,12.66,256,9.5
,5,2003-10-12,07:38:00,12.66,255,9.48
,5,2003-10-12,07:42:00,12.66,256,9.48
,5,2003-10-12,07:46:00,12.66,255,9.47
,5,2003-10-12,07:50:00,12.67,256,9.49
,5,2003-10-12,07:54:00,12.68,256,9.47
,5,2003-10-12,07:58:00,12.69,256,9.46
,5,2003-10-12,08:02:00,12.7,255,9.47
,5,2003-10-12,08:06:00,12.71,255,9.46
,5,2003-10-12,08:10:00,12.72,255,9.44
,5,2003-10-12,08:14:00,12.73,255,9.45
,5,2003-10-12,08:18:00,12.74,255,9.45
,5,2003-10-12,08:22:00,12.76,255,9.46
,5,2003-10-12,08:26:00,12.77,255,9.43
,5,2003-10-12,08:30:00,12.78,255,9.47
,5,2003-10-12,08:34:00,12.8,256,9.46
,5,2003-10-12,08:38:00,12.81,255,9.42
,5,2003-10-12,08:42:00,12.82,255,9.37
,5,2003-10-12,08:46:00,12.84,255,9.36
,5,2003-10-12,08:50:00,12.86,255,9.37
,5,2003-10-12,08:54:00,12.87,255,9.39
,5,2003-10-12,08:58:00,12.89,255,9.36
,5,2003-10-12,09:02:00,12.9,255,9.38
,5,2003-10-12,09:06:00,12.91,255,9.38
,5,2003-10-12,09:10:00,12.93,255,9.33
,5,2003-10-12,09:14:00,12.95,255,9.31
,5,2003-10-12,09:18:00,12.97,255,9.32
,5,2003-10-12,09:22:00,12.99,255,9.31
,5,2003-10-12,09:26:00,13.01,255,9.32
,5,2003-10-12,09:30:00,13.03,255,9.32
,5,2003-10-12,09:34:00,13.06,255,9.28
,5,2003-10-12,09:38:00,13.07,255,9.29
,5,2003-10-12,09:42:00,13.09,255,9.31
,5,2003-10-12,09:46:00,13.11,255,9.29
,5,2003-10-12,09:50:00,13.14,255,9.32
,5,2003-10-12,09:54:00,13.18,255,9.27
,5,2003-10-12,09:58:00,13.21,255,9.25
,5,2003-10-12,10:02:00,13.25,255,9.27
,5,2003-10-12,10:06:00,13.28,255,9.3
,5,2003-10-12,10:10:00,13.32,255,9.26
,5,2003-10-12,10:14:00,13.33,255,9.31
,5,2003-10-12,10:18:00,13.36,255,9.29
,5,2003-10-12,10:22:00,13.41,255,9.28
,5,2003-10-12,10:26:00,13.44,255,9.26
,5,2003-10-12,10:30:00,13.47,255,9.28
,5,2003-10-12,10:34:00,13.47,255,9.25
,5,2003-10-12,10:38:00,13.48,255,9.24
,5,2003-10-12,10:42:00,13.5,256,9.16
,5,2003-10-12,10:46:00,13.52,256,9.15
,5,2003-10-12,10:50:00,13.54,257,9.17
,5,2003-10-12,10:54:00,13.56,257,9.21
,5,2003-10-12,10:58:00,13.58,258,9.26
,5,2003-10-12,11:02:00,13.61,259,9.26
,5,2003-10-12,11:06:00,13.63,260,9.21
,5,2003-10-12,11:10:00,13.65,260,9.23
,5,2003-10-12,11:14:00,13.67,261,9.2
